X,Y,Cu_ppm,Fe2O3_%,Au_ppb,Ni_ppm,Zn_ppm,Pb_ppm,X_scaled,Y_scaled,Ni_ppm_scaled,Zn_ppm_scaled,Pb_ppm_scaled,Predicted_Cu_ppm,Predicted_Fe2O3_%,Predicted_Au_ppb
77.138889,15.617117,23.4,4.63,1.5,55.6,47.2,26.7,0.6108387141701417,1.4433025996593989,0.3797688293283086,0.5630072055180338,0.8444181721062178,25.287440011533384,4.694867726018419,1.5001875
77.157407,15.617117,26.3,5.31,1.5,72.9,50.5,25.7,0.6485049114936905,1.4433025996593989,0.9511578070073757,0.7444268187608409,0.7556161775552143,28.84084538688373,5.522906421336727,1.5001875
77.175926,15.617117,21.7,4.19,1.5,51.4,40.4,26.7,0.6861731428488426,1.4433025996593989,0.24105011798425754,0.1891728509570974,0.8444181721062178,21.6331992947896,4.388056843608522,1.5236906026252983
77.194444,15.617117,30.5,5.13,1.5,76.1,47.7,27.5,0.7238393401723915,1.4433025996593989,1.0568482537457,0.5904950257063379,0.9154597677470208,28.220809640789767,5.419220027898909,1.5011906026252984
77.212963,15.617117,24.3,4.84,1.5,53.6,50.9,31.2,0.7615075715275436,1.4433025996593989,0.31371230011685575,0.7664170749114843,1.244027147585734,25.36223792523328,4.642086347811024,1.5011906026252984
77.231481,15.617117,27.1,5.16,1.5,68.7,45.0,30.9,0.7991737688510924,1.4433025996593989,0.8124390956633247,0.4420607966894955,1.217386549220433,26.212770023392356,5.024500068923174,1.50159382843175
77.25,15.617117,31.9,4.97,1.5,70.7,49.4,26.6,0.8368420002062444,1.4433025996593989,0.8784956248747775,0.6839536143465718,0.8355379726511177,28.632634153670846,5.474913249110384,3.2547934252059436
77.009259,15.635135,17.6,4.95,1.5,50.3,52.5,25.0,0.347167196778858,1.4754336558437657,0.20471902691795843,0.8543780995140575,0.6934547813695118,26.176113896807195,4.710033335434287,1.5001875
77.027778,15.635135,20.3,4.58,1.5,59.0,42.4,24.9,0.38483542813401006,1.4754336558437657,0.49206492898777837,0.29912413171031393,0.6845745819144113,24.42252862550122,4.799205312783773,1.5029531405163854
77.046296,15.635135,16.5,3.78,1.5,61.3,35.2,29.1,0.4225016254575589,1.4754336558437657,0.568029937580949,-0.09670047900126534,1.0575429590286267,22.211063156543574,4.850518039394486,1.5001875
77.064815,15.635135,25.2,5.34,1.5,68.3,48.1,30.5,0.46016985681271094,1.4754336558437657,0.7992277898210339,0.6124852818569813,1.1818657514000317,26.108841310635416,5.164496471524776,1.5339375000000002
77.083333,15.635135,23.9,5.15,1.5,64.2,46.1,26.0,0.4978360541362598,1.4754336558437657,0.6638119049375558,0.5025340011037647,0.7822567759205155,25.241893244174957,5.009416116136103,1.5027923218029349
77.101852,15.635135,21.6,4.84,1.5,53.3,52.2,26.7,0.5355042854914119,1.4754336558437657,0.3038038207351377,0.8378854074010752,0.8444181721062178,26.147829956380505,4.64505791749905,1.5001875
77.12037,15.635135,22.9,4.49,1.5,57.0,41.6,23.9,0.5731704828149607,1.4754336558437657,0.42600839977632554,0.25514361940902747,0.5957725873634078,23.0422337303874,4.551886135955823,1.5032325860963547
77.138889,15.635135,24.6,5.01,1.5,62.8,43.3,25.0,0.6108387141701417,1.4754336558437657,0.6175723344895386,0.3486022080492613,0.6934547813695118,24.816751929886653,4.889042378418018,1.5008478773584906
